Id,Project_Id,DocName,FilePath,Description,DocCategory
2,3,"applicationform_jan2012  BOOKS  FOR KASIMBU SECONDARY SCHOOL.doc","~/CMS/Docs/3/Application Form/applicationform_jan2012  BOOKS  FOR KASIMBU SECONDARY SCHOOL.doc","Original Application Form","Application Form"
3,3,"Project Report Form -P265.doc","~/CMS/Docs/3/Project Officer Report/Project Report Form -P265.doc","Project Officer Report","Project Officer Report"
4,1,TDTApplicationForm2013.doc,"~/CMS/Docs/1/Application Form/TDTApplicationForm2013.doc","Application form","Application Form"
8,1,"PROFOMA INVOICE 1 (1).pdf","~/CMS/Docs/1/Documents supporting Application form/PROFOMA INVOICE 1 (1).pdf","Pro forma","Documents supporting Application form"
9,1,"PROFOMA INVOICE 2.pdf","~/CMS/Docs/1/Documents supporting Application form/PROFOMA INVOICE 2.pdf","Pro forma","Documents supporting Application form"
10,1,"DED LETTER.pdf","~/CMS/Docs/1/Documents supporting Application form/DED LETTER.pdf","DED Support letter","Documents supporting Application form"
11,1,"Description of project location.docx","~/CMS/Docs/1/Documents supporting Application form/Description of project location.docx",Location,"Documents supporting Application form"
12,1,"DETAILED BUDGET.docx","~/CMS/Docs/1/Documents supporting Application form/DETAILED BUDGET.docx","Detailed budget","Documents supporting Application form"
13,1,"PHOTO ID.pdf","~/CMS/Docs/1/Documents supporting Application form/PHOTO ID.pdf","Photo IDs","Documents supporting Application form"
14,1,"2013.05.14 Maganzo VTC (311) Project Officer's Report 2012-13.doc","~/CMS/Docs/1/Project Officer Report/2013.05.14 Maganzo VTC (311) Project Officer's Report 2012-13.doc","P O report","Project Officer Report"
15,1,"Maganzo 311 Project Contract 2013.14 Signed p2.pdf","~/CMS/Docs/1/Contract/Maganzo 311 Project Contract 2013.14 Signed p2.pdf","Signed contract p2",Contract
16,1,"Oganizational assesment form (1).doc","~/CMS/Docs/1/Local Rep Report/Oganizational assesment form (1).doc",NULL,"Local Rep Report"
17,1,"311 Maganzo Visit report 2 Oct 2013.docx","~/CMS/Docs/1/Visit Report/311 Maganzo Visit report 2 Oct 2013.docx","DA Visit 2 October 2013","Visit Report"
18,1,"2013.10.18 Bank Statement showing money received.pdf","~/CMS/Docs/1/Other Correspondence/2013.10.18 Bank Statement showing money received.pdf","Bank statement showing monies received","Other Correspondence"
23,2,"applicationform_jan2012 (1).doc","~/CMS/Docs/2/Application Form/applicationform_jan2012 (1).doc",NULL,"Application Form"
24,1,"Re_ TDT project_ Maganzo HTC.eml","~/CMS/Docs/1/Other Correspondence/Re_ TDT project_ Maganzo HTC.eml","Covering e-mail for bank statement","Other Correspondence"
26,5,"applicationformNov2011  SOLAR  ENERGY  FOR SAVING WOMEN LIVES.doc","~/CMS/Docs/5/Application Form/applicationformNov2011  SOLAR  ENERGY  FOR SAVING WOMEN LIVES.doc","Original Application Form","Application Form"
27,5,"Rusohoko Solar Panels  P256.doc","~/CMS/Docs/5/Project Officer Report/Rusohoko Solar Panels  P256.doc","D Cook project officer report","Project Officer Report"
28,5,"SIGNED GRANT CONTACT  FOR  RUSOHODEVELOPMENT FOUNDATION.pdf","~/CMS/Docs/5/Contract/SIGNED GRANT CONTACT  FOR  RUSOHODEVELOPMENT FOUNDATION.pdf","Signed contract",Contract
29,5,"First   Project Report  for  project C 256.doc","~/CMS/Docs/5/Project Report/First   Project Report  for  project C 256.doc","First Progress Report","Project Report"
30,5,"Kidahwe Dispensary  Visit Report Oct13.docx","~/CMS/Docs/5/Visit Report/Kidahwe Dispensary  Visit Report Oct13.docx","October 2013 Visit Report","Visit Report"
31,5,"Letter of refrence and approval.doc","~/CMS/Docs/5/Documents supporting Application form/Letter of refrence and approval.doc","Reference letter for Municipality","Documents supporting Application form"
32,5,Doc1.docx,"~/CMS/Docs/5/Project Report/Doc1.docx","Invoice for Panels, Inverters and Batteries","Project Report"
33,5,"Proforma INVOICE FOR SOLAR.pdf","~/CMS/Docs/5/Documents supporting Application form/Proforma INVOICE FOR SOLAR.pdf","Pro Forma Invoice","Documents supporting Application form"
35,6,"TDTApplicationForm2013 VACE Project.doc","~/CMS/Docs/6/Application Form/TDTApplicationForm2013 VACE Project.doc","Original Application Form","Application Form"
36,6,"TDT Application Attachment.doc","~/CMS/Docs/6/Documents supporting Application form/TDT Application Attachment.doc","Pro Forma Invoices","Documents supporting Application form"
37,6,"Budget on VACE Project.doc","~/CMS/Docs/6/Documents supporting Application form/Budget on VACE Project.doc","Budget and Registration Certificate","Documents supporting Application form"
38,6,"Visit Report Oct 2013.docx","~/CMS/Docs/6/Visit Report/Visit Report Oct 2013.docx","Visit Report by David Ackland October 2013","Visit Report"
41,8,"applicationformjan20121 FPA1.pdf","~/CMS/Docs/8/Application Form/applicationformjan20121 FPA1.pdf","This application is for two solar projects - mwamgongo and Sunuka. It was decided to  fund Mwamgongo first and then reconsider Sunuka after successful completion of Mwamgongo","Application Form"
42,8,"REFERENCE LETTER FOR FOUNDATION FOR POVERTY ALLEVIATION IN TANZANIA.doc","~/CMS/Docs/8/Documents supporting Application form/REFERENCE LETTER FOR FOUNDATION FOR POVERTY ALLEVIATION IN TANZANIA.doc","Supporting letter and NGO registration","Documents supporting Application form"
43,8,"THE  SIGNED CONTRACT   FOR PROJECT  P 286  FOR  FPA.doc","~/CMS/Docs/8/Documents supporting Application form/THE  SIGNED CONTRACT   FOR PROJECT  P 286  FOR  FPA.doc","Project contract for Mwamgongo",Contract
44,8,"P286 Sukuna and Mwamgongo solar power PO report final 7 Nov 2012.doc","~/CMS/Docs/8/Project Officer Report/P286 Sukuna and Mwamgongo solar power PO report final 7 Nov 2012.doc","Project officer report by JP. ","Project Officer Report"
