Id,ProjectIdentifier,ProjectName,ApplicationDate,AmountGrantRequested,AmountGrantApproved,DateGrantApproved,AmountGrantPaid,DateGrantPaid,ProjectDescription,StatusCode_Id,StatusDescription,ProjOfficerRecommendation,TargetCompletionDate,Region_Id,District_Id,Keywords,Summary,ProjOfficer_Id,Problems,StatusCodeDate,StrengthsWeaknesses,FinanceOtherFunders,LocalContribution,WebSitePicture,WebSitePictureDescription,Latitude,Longitude,DocumentsUrl,PublicDocumentsUrl,ImpactOfProject,LastUpdated,TotalProjectCost,LastUpdatedBy
1,311,"Maganzo Vocational Training Centre","2013-03-01 00:00:00",1729,3098,"2013-09-17 00:00:00",4226,"2013-10-08 00:00:00","Magonzo Vocational Training Centre (VTC) is 17km north of Shinyanga housed in a small building on one side of Maganzo “village square”. Maganzo VTC was helped into existence and facilitated by the Organisation for People Empowerment (OPE), led by William Shayo, but it is now an independent institution run by a local committee with the very active co-operation of the Village Chairman. The VTC seeks to support young people who did not succeed at (or dropped out of) secondary school due to lack of school fees or low pass marks. The training at the centre is carried out by two experienced teachers - one with Diploma in Designing Sewing and Clothing Technology, .There are 10 computers, but only 5 can be used because the room is so tiny. It was nevertheless well organised with no trailing wires. Students come in morning and afternoon shifts. This is the only computer facility in the area and local teachers have also requested training sessions as they are going to be involved in electronic voter registration. The Centre Manager, a commanding (but genial) lady and the Village Chair are negotiating to take over the next door room, currently used as a store by some women farmers, and relocate the computers there. The main room (in the fat branch of the L) houses the sewing project, where Judith, the sewing teacher works with 49 young women and 1 young man, but again in shifts. The room is adequately supplied with sewing machines and a cutting out table and there were various examples of the students’ work on view. The block of toilets funded by TDT situated at the opposite side of the “square” has 2 cubicles for the VTC and 2 for the village community. This is an excellent and very successful project.
",12," TDT Committee granted £3,098 on 13th May 2013 for the construction of toilets. This sum incorporates a donation of £1700 from Ruth Edwards from the sale of her pictures. Thus the net cost to TDT is £1,398. Construction of the toilets was proceeding well on 19 June 2014. See photos. TDT granted a further £1,729 in September 2014 for the purchase of replacement equipment. Contract has been returned and grant acknowledged. Julian and Ann visited on February 23rd with William Shayo, LR.  The structural arrangements outlined above are not quite correct. OPE- the Organisation of People Empowerment- is an NGO in Shinyanga, now led by William Shayo with a total of 8 staff. William receives a salary as Head of OPE. He was formerly the Head of Red Cross over several Regions. OPE contracts with donor agencies including the UN’s ILO, the Wabia Network (www.wabia.net) to deliver programmes locally. It is this that makes William so knowledgeable about development issues and gives him a wide range of contacts. Maganzo VTC was helped into existence and facilitated by OPE, but it is now an independent institution run by a local committee with the very active co-operation of the Village Chairman. Further assessment of impact awaits PO visit in 2017.
","The Maganzo VTC is housed in a small building on one side of what might euphemistically described as the village square. It is L shaped, with the computers located in a thin branch of the L. There are 10 computers, but only 5 can be used because the room is so tiny. It was nevertheless well organised with no trailing wires. We met the young woman computer teacher who showed us the syllabus. Students come in morning and afternoon shifts. This is the only computer facility in the area and now local teachers have also requested training sessions as they are going to be involved in electronic voter registration. The Centre Manager, a commanding (but genial) lady and the Village Chair are negotiating to take over the next door room, currently used as a store by some women farmers, and relocate the computers there.
The main room (in the fat branch of the L) houses the sewing project, where Judith, the sewing teacher works with 49 young women and 1 young man, but again in shifts. The room was adequately supplied with sewing machines and a cutting out table and there were various examples of the students’ work on view.","2014-12-31 00:00:00",1,1,"Vocational training, tailoring, sewing, IT","Magonzo Vocational Training Centre (VTC) is 17km north of Shinyanga housed in a small building on one side of Maganzo “village square”. Maganzo VTC was helped into existence and facilitated by the Organisation for People Empowerment (OPE), led by William Shayo, but it is now an independent institution run by a local committee with the very active co-operation of the Village Chairman.  The VTC seeks to support young people who did not succeed at (or dropped out of) secondary school due to lack of school fees or low pass marks. The training at the centre is carried ou by two experienced teachers - one with Diploma in Designing Sewing and Clothing Technology, TDT’s initial grant enabled OPE to purchase all the necessary equipment. However the opening was delayed because the Shinyanga Health Department said that the toilets were inadequate. TDT’s second grant  enabled the construction of new toilets. Before the grand opening of the VTC thieves broke in and stole some of the equipment which TDT had funded. Exceptionally, TDT agreed to replace the stolen items.There are 10 computers, but only 5 can be used because the room is so tiny. It was nevertheless well organised with no trailing wires. Students come in morning and afternoon shifts. This is the only computer facility in the area and local teachers have also requested training sessions as they are going to be involved in electronic voter registration. The Centre Manager, a commanding (but genial) lady and the Village Chair are negotiating to take over the next door room, currently used as a store by some women farmers, and relocate the computers there.
The main room (in the fat branch of the L) houses the sewing project, where Judith, the sewing teacher works with 49 young women and 1 young man, but again in shifts. The room is adequately supplied with sewing machines and a cutting out table and there were various examples of the students’ work on view. The block of toilets funded by TDT situated at the opposite side of the “square” has  2 cubicles for the VTC and 2 for the village community. This is an excellent and very successful project.
",8,NULL,2016-04-29,"In essence this should be an excellent project, to which TDT has already committed a lot of money. It has potential to be very good. The DC's office promises some help with security.  Janet's visit is pending.","Ruth Edwards, £1,700",NULL,...,"Maganzo tailoring",-3.524767000000,33.580570000000,https://onedrive.live.com/?id=f58f41920bffde6e%21106&cid=F58F41920BFFDE6E,,"Seems to be very good- further visit needed.","2016-05-19 15:47:44",NULL,NULL
2,285,"Textbooks for Lwanzali & Kariakoo Secondary Schools","2012-08-04 00:00:00",6675,6675,"2012-11-27 00:00:00",6675,"2013-01-17 00:00:00","To increase pupil:textbook ratio to 4:1 in each subject in each year at Lwanzali and Kariakoo Secondary Schools.",13,"Delivered satisfactorily with FADICE (NGO) overseeing delivery of books to the schools and implementation of a library system","I support this proposal. I feel that it is likely to be delivered and monitored. It seems a lot of money (~£6.5k), but this is to bringing two schools up to a reasonable level of book holding. It would not be feasible in my view to cut the grant, unless we funded one school at a time, or some subjects but not others. Otherwise, cutting would mean a ratio of less than 1:4 which is probably not feasible","2013-03-21 00:00:00",2,2,"Textbooks, secondary, school, education","A local NGO in Tabora (Fair Education & Information Centre – FADICE) made an application on behalf of these two secondary schools, and proved a reliable and effective partner. The application was to raise the ratio of textbooks to pupils in each subject in each school year to 1:4. Prior to this, the ratio in some subjects was so large that effectively pupils had no access to textbooks. FADICE recognised that provision of textbooks alone was not enough – they instituted a library system in each school, organised seminars for staff to embed the system, explained the system to the pupils and ensured that all the books were stamped as school property. The project was delivered effectively and FADICE have promised to monitor the system in the coming months, which should provide valuable learning for TDT in the implementation of similar projects.",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21188,NULL,NULL,NULL,NULL,NULL
3,265,"Kasimbu Secondary School","2012-03-23 00:00:00",6650,2000,"2013-05-07 00:00:00",2000,"2013-05-17 00:00:00","School Textbooks",11,"The Books have been purchased and delivered to the school. They are currently kept in locked cupboards (including the posters) as the school is concerned about security. They do lend the books out, but it seems to be tightly controlled.",NULL,"2013-09-01 00:00:00",3,3,"Textbooks
Secondary School
Ujiji
Education","This project provided textbooks for this school which is situated in a very poor area of Ujiji about 5km from Kigoma. The Headmaster who proposed the project has now been reassigned to a new school, so the new headmaster is now in charge of the project. ",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21204,NULL,NULL,NULL,NULL,NULL
5,256,"Rusohoko Development Foundation","2011-11-07 00:00:00",6000,6000,"2012-09-12 00:00:00",3000,"2012-10-12 00:00:00","Installation of solar panels on two rural dispensaries in Kidahwe Village and Kazulamimba Village",15,"First phase was Kidahwe Dispensary, but when visited in October 2013, there was no evidence of the panels funded by TDT. There were three panels provided by HCF and 8 new panels installed by Kigoma Sola (Rex Energy)","Initially recommended project, but after problems with communication, threw out the second phase.","2013-01-15 00:00:00",3,4,"Solar, Dispensary, Health, Energy, Power","Please refer to Visit Report of October 2013 in Documents section",2,"Looks like outright fraud. Dispensary already had panels, so pretended that they had installed them with TDT money. Police investigation came up with nothing and all local officers have changed, so nothing we can do.",2013-10-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21206,NULL,NULL,NULL,NULL,NULL
6,285a,"VACE -Vulnerable adolescence and caregivers’ empowerment","2013-05-10 00:00:00",8300,6000,"2014-09-17 00:00:00",6000,"2014-10-01 00:00:00","The grant will be used to buy dressing machines, learning materials and poultry being for caregivers empowerment. 15 girls will benefit on the training, 15 caregivers and about 60 young brothers and sisters will benefit from the caregivers empowerment.",13,"Allocated to Janet Chapman as Project Officer 3/2/14.
Visit by Albert Kahai March 2014","Recommend funding sewing and poultry materials only using reduced figures supplied by Albert.  Consider computer equipment funding at next committee. ",NULL,2,2,"Tailoring, Vulnerable, Youth, Empowerment, Poultry, Computers","FADICE, are an efficient and trustworthy partner ably led by Philemon Boyo, our LR in Tabora. The grant supports a tailoring project with vulnerable girls is going well and producing small goods such as bags to be sold in the UK as well as locally.  They have now also purchased a knitting machine and are producing sweaters and hats.  They have a small gardening project to support the girls' nutrition.",10,.,2014-10-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212388,NULL,NULL,"2019-11-24 14:06:30",NULL,NULL
8,286a,"Mwamgongo Solar","2013-01-18 00:00:00",3250,3250,"2012-11-30 00:00:00",3250,NULL,"Solar power for rural dispensary 60kms north of Kigoma on Lake Tanganyika. Access only by boat",13,"Project completed ","Good NGO representation by Bibi Lucy Alfred in liaison with local rep Evelyn Leonard","2013-01-31 00:00:00",3,4,"Mwamgongo solar","Successfully completed with report and photos and letters of thanks from medical staff. ",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212399,NULL,NULL,NULL,NULL,NULL
9,286b,"Sunuka solar","2012-01-19 00:00:00",3250,3250,"2012-05-02 00:00:00",3250,"2012-05-22 00:00:00","Second part of 286 solar installation at Sunuka dispensary following successful completion of Mwamgongo",13,"Awaiting photos and possible local letters following first completion written report and meeting with Bibi Liucy in Kigoma in October 2013.

16th January 2014  Email received from E Leonard re report and discussion with Ward Officer for Sunuka. He  confirmed that FPA installed the Solar Panels at Sunuka in 2013.  Photos due from Bibi Lucy. 

 29th January JP:  Evelyn confirmed  project completion agreed by the assistant DMO and village Ward Officer.  Photos received from Bibi Lucy show small TDTfunded  installation and control box / battery etc in situ.  There is also a longer set of panels on the roof and Evelyn says she thinks these are a later addition by another company - it seems likely this is another REX energy installation as part of the recent Kigoma region project but ours is definitely in situ and working !   ","It was recommended for funding and approved","2012-08-22 00:00:00",3,4,"Solar:  Dispensary:  Sunuka:  FPA:  Evelyn Leonard:  REX energy","Project completed and working",3,"Problems resolved. See information re additional installation above. ",2014-01-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212400,NULL,NULL,NULL,NULL,NULL
10,314,"KIHOA Horticultural Association","2013-05-01 00:00:00",4300,NULL,NULL,NULL,NULL,"Creation of a nursery for trees and fruit trees and to conduct training workshops in Kigoma Urban and Rural districts.",17,"Rejected. See Visit report and further email from Phil Grant.",NULL,NULL,3,NULL,"Training, Agriculture, Nursery, Trees",NULL,NULL," ",2014-01-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21193,NULL,NULL,NULL,NULL,NULL
11,316,"KADEF BEE FARMING PROJECT","2013-05-21 00:00:00",1584,NULL,NULL,NULL,NULL,"Supply of bee equipment & training in bee management & Honey production, for Mayambe & Vitusa groups, Karagwe district, Kagera Region",19,"Discussed at May '14 meeting. Decided more info. required before decision. (see below)","Await more information. Concerns about project ownership and marketing of honey.  Kevin Curley will visit the 2 groups in Nov. and liaise with the District Bee Officer
05.01.15  Kevin Curley visited and recommends that this project is rejected.  Please see Kevin's email in Documents.",NULL,4,5,"Bees, Honey, SACCOS, Credit Union, Hives","Upon advice ffrom the local bee officer, I have revised the budget to reflect more appropriate and cheaper equipment to support these 2 groups. 
05.01.15 Kevin suggests that TDT might consider funding one of these groups in the future, independently of KADEF.",4,NULL,2015-01-23,"KADEF were over ambitious in their original application, without researching the needs and costs.  They were not fully transparent.
I have concerns about project ownership and the marketing of honey, hence my supporting letter of 25.3.14.",NULL,"Project co-ordination by KADEF, and some costs towards training.",NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21194,NULL,NULL,"2015-11-18 08:46:23",NULL,NULL
12,319,"UWAKU Tree Nursery","2013-05-31 00:00:00",1536,NULL,NULL,NULL,NULL,"Tree  nursery to support orphans and carers",19,"Kevin Curley met Khalid Maganga (Chair) and Amos Chacha (Board member) in Bukoba in December 2014.  We went to the tree nursery at Nyanga about 7 k from town.  See photos. The group had requested tools and equipment for use at the nursery. I saw a large plot with several thousand seedlings - pine, akasia, rusina, cashew, mjora, alatusi.  The day before my visit they had sold 1500 seedlings to a primary school. I wrote on 22 Jan 2015 to tell them the grant had been refused.","I cannot see how this group differs from many other small enterprises which are planting and selling seedlings.  I saw many plots with both seeedlings and planted trees.  It seems to me that the enterprising leaders of UWAKU are using an NGO as an organisational structure for running a small, successful business.  There is no community involvement and no educational or welfare aspect to their work. They will prosper without our funds. Elias has met the group's leaders but has not expressed an opinion about their bid. I recommend that we reject their request.",NULL,4,6,"Trees, Forestry, Tree-nursery, orphans, carers","This is an application for tools and equipment for use at a tree nursery owned by a small NGO in Bukoba.",5,"Checking the website of the seed provider, the pro-forma invoice seems to have far lower prices. Also 10kg for each type of seed provides an enormous amount of seedlings (between 3,000 and 40,000 per KG!)",2015-01-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21195,NULL,NULL,"2015-11-18 08:49:26",NULL,NULL
